iter	RMSE
535	48.74650761
536	48.74627317
537	48.74603687
538	48.74477495
539	48.7446241
540	48.74388636
541	48.7434774
542	48.74211032
543	48.7395755
544	48.73849121
545	48.73741046
546	48.73722716
547	48.73594885
548	48.73422302
549	48.7340268
550	48.73240906
551	48.73198422
552	48.73078404
553	48.72858324
554	48.7272274
555	48.72679379
556	48.72647578
557	48.72566022
558	48.72457098
559	48.72429202
560	48.72115463
561	48.72046795
562	48.71794321
563	48.71642701
564	48.71620738
565	48.71409458
566	48.71313952
567	48.71143907
568	48.71117031
569	48.70989299
570	48.70923297
571	48.70827221
572	48.70792137
573	48.70758133
574	48.70725489
575	48.70711841
576	48.70662319
577	48.70593843
578	48.7045685
579	48.70333826
580	48.70213907
581	48.70192109
582	48.70027098
583	48.6999876
584	48.69981537
585	48.69959998
586	48.69837433
587	48.69727853
588	48.69688185
589	48.69650083
590	48.69613381
591	48.6946237
592	48.69430854
593	48.69375593
594	48.69351223
595	48.69262706
596	48.69188003
597	48.69104673
598	48.68983044
599	48.68842119
600	48.68786686
601	48.68748874
602	48.68687692
603	48.68576748
604	48.68505455
605	48.68358872
606	48.68309229
607	48.68014634
608	48.67960654
609	48.67499394
610	48.67271472
611	48.67206854
612	48.67168976
613	48.66979361
614	48.66889916
615	48.66857526
616	48.66844393
617	48.66818212
618	48.6674404
619	48.66567481
620	48.66482097
621	48.66455717
622	48.66389971
623	48.66238025
624	48.66202247
625	48.66173764
626	48.66151947
627	48.66000053
628	48.65962465
629	48.65837439
630	48.65648789
631	48.65610594
632	48.65566943
633	48.65482053
634	48.65467727
635	48.65452511
636	48.6543213
637	48.65395367
638	48.65325887
639	48.65273109
640	48.65230578
641	48.65161333
642	48.65136583
643	48.65096267
644	48.65043731
645	48.65010817
646	48.64894786
647	48.64805934
648	48.6477325
649	48.64699688
650	48.64677932
651	48.64632935
652	48.6455791
653	48.64548361
654	48.64514558
655	48.64485356
656	48.64377467
657	48.64274058
658	48.64261151
659	48.64239356
660	48.64231169
661	48.64215681
662	48.64072671
663	48.64033459
664	48.63982054
665	48.63916898
666	48.63818096
667	48.63786298
668	48.63733782
669	48.63720398
670	48.63606469
671	48.63463642
672	48.63390954
673	48.63244994
674	48.63107409
675	48.6307349
676	48.63049101
677	48.63004892
678	48.6288141
679	48.62793736
680	48.62718445
681	48.62665847
682	48.62632389
683	48.62575224
684	48.6252987
685	48.62506235
686	48.62497672
687	48.62462656
688	48.62452068
689	48.62444772
690	48.62394784
691	48.62356006
692	48.62343391
693	48.62334651
694	48.62115214
695	48.62094005
696	48.62034346
697	48.6198462
698	48.61871183
699	48.61808608
700	48.61774331
701	48.61756326
702	48.61742192
703	48.61686111
704	48.61626184
705	48.61600748
706	48.61459468
707	48.6141491
708	48.61356139
709	48.61341181
710	48.61297769
711	48.61285717
712	48.61260337
713	48.61240635
714	48.61019683
715	48.61003737
716	48.60966462
717	48.60922014
718	48.60775347
719	48.60650456
720	48.60615609
721	48.60534998
722	48.60461678
723	48.60404415
724	48.60370038
725	48.60334978
726	48.60224434
727	48.60171362
728	48.60093315
729	48.60010171
730	48.59946004
731	48.59831624
732	48.59367904
733	48.59361944
734	48.59046295
735	48.58916931
736	48.58812094
737	48.58798119
738	48.58615344
739	48.58519654
740	48.58444657
741	48.58405811
742	48.58383698
743	48.5802037
744	48.57946522
745	48.57875998
746	48.57707292
747	48.57582486
748	48.57533024
749	48.57487637
750	48.57475047
751	48.57447387
752	48.57442457
753	48.57394021
754	48.57310354
755	48.57268359
756	48.57240674
757	48.57187359
758	48.57117409
759	48.57077105
760	48.57043585
761	48.56891122
762	48.56540087
763	48.56455125
764	48.56429783
765	48.56390593
766	48.56340154
767	48.56294866
768	48.56262641
769	48.56258182
770	48.56155522
771	48.55982257
772	48.55835247
773	48.55760869
774	48.55665423
775	48.55655258
776	48.55509062
777	48.55420124
778	48.55350434
779	48.55277868
780	48.55237888
781	48.55204361
782	48.55160854
783	48.55095751
784	48.55065662
785	48.5497274
786	48.54918164
787	48.54910199
788	48.54903302
789	48.54878048
790	48.54853781
791	48.54531493
792	48.5447612
793	48.54455027
794	48.54412726
795	48.54394192
796	48.54342067
797	48.54319136
798	48.54224954
799	48.54125898
800	48.53973512
801	48.53877091
802	48.53781786
803	48.5377382
804	48.53765417
805	48.53715629
806	48.53704544
807	48.5368546
808	48.5367588
809	48.53530282
810	48.53467248
811	48.53422614
812	48.53352124
813	48.53289026
814	48.53257254
815	48.53207253
816	48.53192795
817	48.53154383
818	48.53029446
819	48.53019842
820	48.52948167
821	48.52833668
822	48.5276858
823	48.5273307
824	48.52624668
825	48.5255635
826	48.52427827
827	48.52413874
828	48.52328627
829	48.52319581
830	48.52302494
831	48.52189711
832	48.52134321
833	48.52064263
834	48.52052835
835	48.52028459
836	48.51990275
837	48.51960902
838	48.51881002
839	48.51867594
840	48.5175578
841	48.51676286
842	48.51641708
843	48.5154412
844	48.51517094
845	48.51423142
846	48.51403088
847	48.51035434
848	48.51020937
849	48.5100653
850	48.5091608
851	48.50849387
852	48.50753019
853	48.50734192
854	48.50722897
855	48.50701253
856	48.50683452
857	48.50602184
858	48.50525121
859	48.50502721
860	48.5044653
861	48.50351161
862	48.50339809
863	48.50268948
864	48.50243975
865	48.5023567
866	48.50222147
867	48.50219596
868	48.50188445
869	48.50147902
870	48.50135318
871	48.50078185
872	48.50018047
873	48.49822172
874	48.49772021
875	48.49677433
876	48.49650599
877	48.49569608
878	48.4945319
879	48.49414583
880	48.49312124
881	48.49240279
882	48.49221194
883	48.49216803
884	48.49204569
885	48.49178408
886	48.49157192
887	48.49143985
888	48.49061636
889	48.49055411
890	48.4893002
891	48.48869364
892	48.48857708
893	48.48705917
894	48.48693106
895	48.48623191
896	48.48587377
897	48.48555769
898	48.48507855
899	48.48493237
900	48.48308581
901	48.48280328
902	48.48255362
903	48.48230907
904	48.48118914
905	48.48091766
906	48.47797024
907	48.47735821
908	48.4771409
909	48.47647535
910	48.47628082
911	48.47548765
912	48.47505132
913	48.47261188
914	48.4716065
915	48.47036875
916	48.46964836
917	48.46910751
918	48.46855687
919	48.46849165
920	48.46818509
921	48.4671141
922	48.46684557
923	48.46639589
924	48.46626949
925	48.46617176
926	48.46553327
927	48.46490107
928	48.46462547
929	48.46444284
930	48.46324843
931	48.46278475
932	48.46275923
933	48.46234679
934	48.46112736
935	48.46085275
936	48.46067237
937	48.46056415
938	48.46025441
939	48.45992114
940	48.45824275
941	48.45811669
942	48.4575039
943	48.45640942
944	48.45507047
945	48.45498975
946	48.45487793
947	48.45377007
948	48.45349243
949	48.45310722
950	48.45282015
951	48.45260219
952	48.45235543
953	48.45099858
954	48.45065423
955	48.45034995
956	48.45029354
957	48.45002423
958	48.44966674
959	48.44946986
960	48.44938718
961	48.4493025
962	48.44923106
963	48.44830679
964	48.44710082
965	48.44591606
966	48.4457872
967	48.44573619
968	48.44508714
969	48.44450285
970	48.44445539
971	48.44321554
972	48.44262121
973	48.44138705
974	48.4409128
975	48.44078525
976	48.44060172
977	48.44030622
978	48.43960464
979	48.439308
980	48.43915359
981	48.43806527
982	48.43680817
983	48.43574782
984	48.43569666
985	48.43451238
986	48.43416367
987	48.43405966
988	48.43340149
989	48.43294833
990	48.43268587
991	48.43235816
992	48.43167198
993	48.43103858
994	48.4298588
995	48.4298115
996	48.42961486
997	48.4293651
998	48.42907344
999	48.4286003
